prdt_id, prdt_title, reviewerID, sentiment_score
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A1YJEY40YUW4SE,-0.3561
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A60XNB876KYML,0.0
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A3G6XNM240RMWA,0.9714
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A1PQFP6SAJ6D80,0.0
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A38FVHZTNQ271F,0.9052
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A3BTN14HIZET6Z,0.9836
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,A1Z59RFKN0M5QL,0.4597
7806397051,WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette,AWUO9P6PL1SY8,0.2263
9759091062,Xtreme Brite Brightening Gel 1oz.,A3LMILRM9OC3SA,0.4359
9759091062,Xtreme Brite Brightening Gel 1oz.,A30IP88QK3YUIO,0.9201
9759091062,Xtreme Brite Brightening Gel 1oz.,APBQH4BS48CQO,-0.4199
9759091062,Xtreme Brite Brightening Gel 1oz.,A3FE8W8UV95U6B,0.2617
9759091062,Xtreme Brite Brightening Gel 1oz.,A1EVGDOTGFZOSS,0.6369
9759091062,Xtreme Brite Brightening Gel 1oz.,AP5WTCMP6DTRV,-0.3372
9759091062,Xtreme Brite Brightening Gel 1oz.,A21IM16PQWKVO5,0.0
9759091062,Xtreme Brite Brightening Gel 1oz.,A1TLDR1V4O48PK,-0.296
9759091062,Xtreme Brite Brightening Gel 1oz.,A6F8KH0J1AVYA,0.5499
9759091062,Xtreme Brite Brightening Gel 1oz.,AXPKZA7UZXKTT,0.4404
9759091062,Xtreme Brite Brightening Gel 1oz.,A2SIAYDK7GG7QA,0.3832
9788072216,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women,A1QV5IH6HDRN0L,0.9767
9788072216,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women,A3UQXHI88S7XAX,0.7936
9788072216,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women,A2EK2CJNJUF7OQ,0.8957
9788072216,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women,A2GWNGQF9SHRE4,0.9873
9788072216,Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women,ABV67T136UXFQ,0.8519
9790790961,Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce,A2FQZKL2KIZACO,0.9952
9790790961,Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce,A312RDWQYLAG7S,0.908
9790790961,Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce,A3TYR1ALBZ2EU9,0.8963
9790790961,Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce,AUYVMLI0CBMYS,0.9785
9790790961,Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce,A2H0VDRANZMGGX,0.9923
9790790961,Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce,A2MZDI3I5AEL74,0.8096
9790794231,Stella McCartney Stella,A17PVB3HRDWN2B,0.9109
9790794231,Stella McCartney Stella,A3R9H6OKZHHRJD,-0.1808
9790794231,Stella McCartney Stella,A2II54B3VA45LN,0.4419
9790794231,Stella McCartney Stella,A2W0O92FZFHJOJ,0.9972
9790794231,Stella McCartney Stella,ARXL1MF07FKY3,0.936
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,AVM6OR01CPJNQ,-0.3217
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A1ISPXMZL1IYSE,-0.6956
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A16NAH39LN211W,-0.2179
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A34M18U6T33YDZ,0.9041
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A8TWSBLUYJR0U,0.9245
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A149N75TZ34CE5,-0.5277
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,AUJZEJ5KJU6OQ,0.7891
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A2EVBQAN92IEZS,-0.7597
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A2VOGNBUMXSW13,0.0
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A2SPAROS5PSI8X,0.9168
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A22PKZZK5DSONS,0.9804
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,AX1567KGMAVLT,0.5603
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,AQX8T9SFFK43U,0.9901
B00004TMFE,Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce,A2ZQE4X9GYJMRI,-0.4914
